标题,发布时间,品种,内容
湖南省邵阳市隆回县太子参买货的商家不多,2026-03-09 15:11,太子参,"【天地网讯】

湖南省邵阳市隆回县太子参近期前来买货的商家不多，产地货源走动缓慢，行情变化不大，现小中统货价格在38元左右，小统33元，近来产区气候暖和，太子参苗的生长情况好于前两年。（信息由湖南省邵阳市隆回县山银花商家吴先生15873927544提供）"
甘肃陇西首阳市场党参走动畅快,2026-03-09 14:47,党参,"【天地网讯】

甘肃陇西首阳市场党参走动畅快，行情稳定，产地货源有量，薄片 2号筛：68-70元之间，3号筛80元左右（大片占比正常），4号筛90-95元之间（大片占比正常），6号筛:130元左右， 党参足6-8筛90元左右（统货）， 8号筛以上：115元左右（统货）。（本信息由甘肃陇西首阳市场赵先生18730236361提供）"
甘肃定西产地近期甘草走货缓慢,2026-03-09 14:43,甘草,"【天地网讯】

甘肃定西产地近期甘草走货缓慢，货源充足，投料35丁够含量7元每公斤，投料棍棍够含量6元元每公斤，58丁投料够含量10元每公斤，58丁过色选饮片货14元每公斤，0.8-1.2圆片过色选够含量33元每公斤，去头草够含量16元每公斤，浮草够含量12元每公斤，沫子1.5元每公斤，每公斤，后市持续关注。（信息由甘肃省渭源县莲峰镇建平中药材农民专业合作社李先生19119616468提供）"
河南省开封市尉氏县葶苈子整体走动一般,2026-03-09 14:43,葶苈子,"【天地网讯】

河南省开封市尉氏县葶苈子延续年前价格，目前整体走动一般，目前产地统货价格在6.5-7元，净货售价在8.5元左右。（本信息由河南开封市尉氏县丁鹏辉15037836197提供）"
河南省开封市尉氏县蝉蜕行情坚挺上行,2026-03-09 14:42,蝉蜕,"【天地网讯】

河南省开封市尉氏县蝉蜕目前走动较好，且行情坚挺上行，现产地泥地货对外售价在650元左右，半沙地货售价在700元左右，而纯沙地净货售价坚挺在750元左右。（本信息由河南开封市尉氏县丁鹏辉15037836197提供）"
河南省开封市尉氏县马齿苋行情暂时稳定,2026-03-09 14:41,马齿苋,"【天地网讯】

河南省开封市尉氏县马齿苋虽有货供应，但前来购货商家不多，货源整体走货不快，行情暂时稳定，目前产地售价在4.5-5元左右。（本信息由河南开封市尉氏县丁鹏辉15037836197提供）"
河南省开封市尉氏县蒲公英行情保持稳定,2026-03-09 14:41,蒲公英,"【天地网讯】

河南省开封市尉氏县蒲公英目前走动依然不快，平时仅为商家按计划购进，行情保持稳定，现产地野生货售价在5.5-6元。（本信息由河南开封市尉氏县丁鹏辉15037836197提供）"
河南省开封市尉氏县女贞子处于平缓走动,2026-03-09 14:40,女贞子,"【天地网讯】

河南省开封市尉氏县女贞子年前年后价格基本持平，货源处于平缓走动，目前产地鸡腰形色选货售价在2.6元左右，圆形色选货售价在2.3-2.4元。（本信息由河南开封市尉氏县丁鹏辉15037836197提供）"
甘肃定西产地近期党参上货量减少,2026-03-09 14:39,党参,"【天地网讯】

甘肃定西产地近期党参上货量减少，人气低，货源充足。散条成交价格在44-48元/kg，党渣成交价格在35-38元/kg，药厂小条成交价格在48-50元/kg（干度好）；中条成交价格在50-54元/kg（干度好），大中条成交价格在54-62元/kg（干度好），大条成交价格在75元/kg以上（干度好）。（信息由甘肃省渭源县莲峰镇建平中药材农民专业合作社李先生19119616468提供）"
河南省开封市尉氏地骨皮行情延续年前价格,2026-03-09 14:39,地骨皮,"【天地网讯】

河南省开封市尉氏地骨皮正月十五过后陆续开始走动，且行情延续年前价格，现当地所产的过2号筛的对外售价在50元左右。（本信息由河南开封市尉氏县丁鹏辉15037836197提供）"
山东省临沂市沂水县丹参近期价格略涨,2026-03-09 13:30,丹参,"【天地网讯】

山东省临沂市沂水县丹参近期价格略涨，走货形势向好，现在半精品在10.6元左右。（本信息由山东省临沂市沂水县丹参商家 王玉廷 13953907580 提供）"
安国地产白芷最新行情,2026-03-09 12:48,白芷,"【天地网讯】

今日行情，河北省保定市安国药市，白芷，
3月9号，安国地产药材市场白芷上市量小，价格在6.5元左右，走势缓慢，货源充足，干货不多"
四川省绵阳市三台县麦冬3月9日行情阐述,2026-03-09 12:03,麦冬,"【天地网讯】

今天，（2026年3月9号，星期一，农历正月二十一）天气阴，9~20°C（体感9°C），湿度79%（潮湿），紫外线一级（最弱），能见度17.7Km（好），空气质量（优）。四川省绵阳市三台县涪城麦冬专业市场，麦冬新货上市第15日，上市量相比昨日基本持平，共计350车左右（约170~180吨），人气爆棚，交易氛围浓烈、场景活跃，购货积极性空前高涨，走动加快，成交占比上市量超85%，行情又略有小涨，（大概2~3元每公斤），统货整体成交价76~96元每公斤。①中等略偏下统货76~81元每公斤②中等统货81~86元每公斤。③中等偏上统货86~91元每公斤④，优质上等统货，91~96元每公斤81~88元每公斤的中等及中等偏上统货为今日市场成交主力，剩下未能成交的主要是中等略偏下，以及少量更次点的药厂统货（要么干度、净度差，要么颗粒偏小、色度差。外观品相选择性较差的货，（说通俗点就是卖相差）今日产地市场一改往日“独角戏”刚需采买独占鳌头局面，有部分刚需购货的，更有相当部分做短线行情，短波或做长线（压货）阶段性价位分期上手的产地内外大小商贩（有产地内或中间环节，或公司经营提前备货采购，也有相当部分加工烘烤鲜果的上手不上市，已部分开始囤货，更有部分安徽、河北、广东、广西、福建等地“游资”大老板逐步介入选购，交易气氛活跃，场面很是闹热，购买力增强，行情阶段性稳中见涨。1.乡下种植户麦冬鲜果价位略有小幅回升，9~14元/市斤，但是目前正值产兴旺季，货源充足，有量且剧增。2.麦冬绿化苗产地行情380~480元每吨麦冬普通（成品）种苗产地行情3800~4300元每吨

仁者见仁智者见智，个人观点仅供参考。

三台县涪城麦冬商会信息部（徐新建15386649496麦冬主产地GAP种植基地常年供应20版、25版各规格麦冬，麦冬种苗、绿化苗，专业种植、加工技术全流程服务）"
2026年3月9日文山三七综合交易市场实时行情,2026-03-09 11:26,未知品种,【天地网讯】
云南省曲靖市罗平县 干姜货源充足,2026-03-09 11:25,干姜,"【天地网讯】

今日行情，云南省曲靖市罗平县，干姜（统货）价格为14.5元/公斤，货源充足。"
云南省保山市隆阳区续断走动平稳,2026-03-09 11:07,续断,"【天地网讯】

云南省保山市隆阳区续断走动平稳，26年新货陆续产新，今年行情已达历史最低，行情无明显波动，但由于低价加上云南数月未下雨导致产量下降严重，农户平均亩产净利润不足千元，多数农户较惜售，家种原统货价格在11-12元左右，选条根据大小10-24元之间，且续断进入集采，大部分企业将采购目标转移至产地，导致市场走动较慢、零散非专业商户会减少库存、不敢大量存货，目前市场经营户以按需采购为主，无大批进货，预计未来续断走势快慢将由产地专营大户为主导，产地将成为库存主力。目前本合作社包全检续断片根据品质不同，价格为13-20元之间，部分精品根据客户要求定制，另有各规格片子、条子500余吨，真实溯源，自有种植面积数千亩，年产量稳定千吨。另长期求购产地续断一手货源。（本信息由云南省保山市隆阳区张忠谨13312795982提供）"
山西省运城市垣曲县山楂走动一般,2026-03-09 10:59,山楂,"【天地网讯】

山西省运城市垣曲县山楂走动一般，行情稳定，货源有量，药厂货价格在4元左右。（本信息由山西省运城市垣曲县赵雷雷13753939816提供）"
山西省运城市垣曲县连翘走动平稳,2026-03-09 10:59,连翘,"【天地网讯】

山西省运城市垣曲县连翘走动平稳，行情稳定，关注一般，货源有量，合格货价格在41元左右。（本信息由山西省运城市垣曲县赵雷雷13753939816提供）"
山西省运城市垣曲县黄芩走动正常,2026-03-09 10:58,黄芩,"【天地网讯】

黄芩，货源走动正常，产地阴雨不断，鲜货无法采挖，干货统货涨价，产地干个子15元每公斤左右。（本信息由山西省运城市垣曲县赵雷雷13753939816提供）"
甘肃定西产地近期黄芪走货稳定，货源充足,2026-03-09 10:55,黄芪,"【天地网讯】

甘肃定西产地近期黄芪走货稳定，货源充足，年前到现在本地压货商对35丁58丁比较感兴趣，导致丁子行情比年前上浮公斤2元，药厂货10.5元每公斤，净二条11元每公斤，毛二条7元每公斤，0.5以下丁子8元每公斤，棍棍5.5元每公斤，色选棍棍6.5元每公斤，58丁标准筛过色选本地货12.5元每公斤，48丁11.5元每公斤，每公斤，47丁10.5元每公斤，0.8-1.2色选圆片31元每公斤， 后市持续关注。（信息由甘肃省渭源县莲峰镇建平中药材农民专业合作社李先生19119616468提供）"
山东省临沂市平邑产地山楂走动略好于前期,2026-03-09 10:48,山楂,"【天地网讯】

山东省临沂市平邑产地山楂行情：干晒一级6元左右，二级5元左右，三级4元左右，烘干有子7-9元，烘干无子14-19元。节后各厂家陆续生产，山楂走动略好于前期，近期将稳定运行。（临沂泉鑫中药材有限公司 李鑫 18263952935）"
2026年3月9日广西蜂蜜产地近况简讯,2026-03-09 10:28,蜂蜜,"【天地网讯】

近期广西进入仲春阶段，受冷暖空气交替影响，全区天气整体呈现气温逐步回升、间歇性阴雨与局地晴好天气交替的格局。部分地区前期出现降雨与短暂降温，气温多在10～25℃之间波动，空气湿度较高；而阶段性晴好天气又为蜜源植物开花提供了一定条件。整体来看，当前气候条件对春季蜜源形成影响较为温和，但降雨与湿度仍对蜜蜂外出采集效率产生一定波动。

从蜜源情况看，菜花蜜目前已进入采收高峰阶段，广西多地油菜进入集中盛花期；同时部分地区的早春百花蜜也开始逐渐形成，但整体产量仍以菜花蜜为主。由于近期天气变化较为频繁，蜂群外出采集时间受天气窗口影响较大，部分地区采收节奏呈现阶段性集中与间断并存的情况。

从产地交易情况看，近期广西蜂蜜原料市场整体较为平稳。药典原料蜂蜜参考价格约为20元/kg，市场成交多以品质、含水率及批量规模为主要议价因素，具体价格仍需根据原料指标及批量情况进行商议。

总体来看，未来一段时间若天气保持相对稳定，随着油菜花期持续，菜花蜜仍将是广西产区近期主要供应蜜种，百花蜜供应量预计会随着气温进一步回升而逐步增加。

价格参考：20元/kg（以上价格仅为药典原料蜂蜜参考价格，具体情况可联系细谈）

本快讯由蜜博士蜂业聪本戚提供联系方式：18174705779（不负责收蜂蜜，蜂农朋友勿加）"
湖北省襄阳市宜城产地山麦冬产新开始,2026-03-09 09:37,山麦冬,"【天地网讯】

湖北省襄阳市宜城产地山麦冬产新开始，前期上货量不大，由于产地今年种植面积增加，今年产量增加，鲜果价格上市偏低，小贩购鲜果价4.5-6元，目前折干率还要8斤左右，少量干货上市，价格在45-55元，产地行情基本上稳定，每天的干货基本上售完，小贩炕出来货都卖走，比前段时间走动快点，小贩都没有惜售心，后市很多老板观望着。（本信息由湖北省襄樊市宜城市山麦冬商家  章洪林  18608670185  提供信息）"
贵州省毕节地区赫章县 零代天麻种子货源充足,2026-03-09 09:23,天麻,"【天地网讯】

今日行情，贵州省毕节地区赫章县，天麻种（三克起）价格为16元/斤，走势缓慢，货源充足。 零代乌天麻种子降价了，量大从优，欲购从速，都是精挑细选出来的精品种子，欢迎全国各地的客商前来洽谈订购，一次合作终生朋友😊"
内蒙古赤峰产地苍术年后走动加快 客商采购积极,2026-03-09 09:20,苍术,"【天地网讯】

内蒙古赤峰产地苍术年后走动加快，价格上涨，客商采购积极，现本地个子原统货价格30元左右，苍术统片价格38元左右，产地有部分可供货源。（本信息由赤峰天顺中药材有限公司 赵振彬15847050708 提供，专注赤峰道地药材，用心服务全国客户）"
云南省曲靖市罗平县干姜走动稳定,2026-03-09 09:02,干姜,"【天地网讯】

云南省曲靖市罗平县干姜走动稳定，行情稳定，无硫姜制品：干姜片（中统）：14.50元/公斤左右，干姜片（强统）：15.50元/公斤左右；含硫姜制品：干姜片（中统）：13.70元/公斤左右，干姜片（强统）：14.50元/公斤左右，干姜块（次货）：13.50元/公斤左右，干姜块（中统）：14.50元/公斤左右，干姜块（强统）：15.50元/公斤左右。（本信息由云南省罗平县商家李先生13769556456提供）"
吉林省白山市靖宇县 平贝母 走势稳定,2026-03-09 08:55,平贝母,"【天地网讯】

今日行情，吉林省白山市靖宇县，平贝母（大粒）价格为60元/公斤，走势稳定，货源充足。 开年平贝母走动稳定1.4以上价格60元左右每公斤， 1.2～1.4 价格64元每公斤 ，0.9～1.2价格70元左右每公斤。"
吉林省白山市靖宇县 五味子 走动稳定,2026-03-09 08:39,五味子,"【天地网讯】

今日行情，吉林省白山市靖宇县，开年五味子目前走动稳定， 陆陆续续都开始往外走货。统货价格31元左右每公斤 选货价格32～33元左右每公斤，电商货价格34～35元左右每公斤。"
贵州省黔东南苗族侗族自治州岑巩县通草走势快,2026-03-09 00:38,通草,"【天地网讯】

今日行情，贵州省黔东南苗族侗族自治州岑巩县，通草（个子）价格为320元/公斤，走势快，货源不足。 种植户惜售，购货人气高。"
新疆呼图壁县古尔班通古特沙漠肉苁蓉走快,2026-03-08 18:47,肉苁蓉,"【天地网讯】

今日行情，新疆呼图壁县古尔班通古特沙漠产地，炮制整支肉苁蓉走货畅快， 产地货源不多，价格上涨，目前单根100-200克炮制整支肉苁蓉价格为45元每公斤，后市持续关注。 （该信息由新疆苁芸仙草农业发展有限公司19018433078提供）"
贵州省毕节地区赫章县 乌天麻片 快讯信息,2026-03-08 13:39,天麻,"【天地网讯】

今日行情，贵州省毕节地区赫章县，天麻（统货，精选另聊）价格为190元/斤，走势稳定，货源充足。"
贵州省毕节地区赫章县 零代天麻种子 快讯信息,2026-03-08 13:31,天麻,"【天地网讯】

今日行情，贵州省毕节地区赫章县，天麻（三克起，五克起）价格为17元/斤，走势稳定，货源充足。"
四川省绵阳市三台县3月8日行情阐述,2026-03-08 13:15,麦冬,"【天地网讯】

今天（2026年3月8号，星期日，农历正月二十，妇女节）天气雾，9~15°C，体感7°C（微凉），湿度91%（潮湿），紫外线1级（最弱），能见度9.2Km（一般）空气质量（优）。四川省绵阳市三台县涪城麦冬专业市场，麦冬新货上市量相比昨日略有增加，共计350车左右，（约160~170吨），人气旺，市场气氛活跃，成交占比上市量超90%，交易火爆，走动加快，行情阶段性止跌企稳，略有小幅上扬（每公斤2~3元）统货整体成交价72~95块每公斤①中等略偏下统货72~75块每公斤②中等统货75~80元每公斤。③中等偏上统货80~85块每公斤④优质上等统货，85~95块每公斤78~85块每公斤的中等偏上好统货为今日市场成交主力今日产地内（驻市场、做中间环节小波段和本地公司经营商户）外（包括成都市场、亳州市场，湖北、山东麦冬产地的部分老板）新老面孔穿梭于麦冬市场，麦冬火三轮摆摊巷道或缝隙间，忙忙碌碌，或观行情或选购，讨价还价声、火山轮进出发动声，场面很是热闹，也有不少种植户在市场里来回走动，观望、关注麦冬行情。1.乡下麦冬采挖进度加快，至少超80%多种植户已雇人、雇机械大动手大面积采挖2.麦冬鲜果交易行情在8~13块每市斤（以折干率和品质品相论价差）3.①麦冬绿化苗产地哪行情380~480元每吨②麦冬普通成品种苗产地行情3800~4300元每吨

仁者见仁智者见智，个人观点仅供参考。

三台县涪城麦冬商会信息部（徐新建15386649496麦冬主产地GAP种植基地常年供应20版、25版各规格麦冬，麦冬种苗、绿化苗，专业种植、加工技术全流程服务）"
甘肃省定西市陇西县 党参 快讯信息,2026-03-08 13:01,党参,"【天地网讯】

今日行情，甘肃省定西市陇西县，党参（药厂个子）价格为49元/公斤，（456个子）价格为56元/公斤，（0.3厚片）价格为68元/公斤，（0.4厚片）价格为78元/公斤，（0.3薄片）价格为80元/公斤，（0.4薄片）价格为98元/公斤，走势缓慢，货源充足。"
甘肃省定西市陇西县 黄芪 快讯信息,2026-03-08 12:57,黄芪,"【天地网讯】

今日行情，甘肃省定西市陇西县，黄芪（药厂个子）价格为11元/公斤，（毛二条）价格为7.5元/公斤，（净二条）价格为11元/公斤，（3-5丁）价格为9元/公斤，（0.5以下丁）价格为8.5元/公斤，（5-8丁过色选）价格为13元/公斤，走势稳定，货源充足。"
重庆市县石柱土家族自治县 黄连 快讯信息,2026-03-08 12:21,黄连,"【天地网讯】

丙午年3月7日 中国黄连市场第14集 一、“石柱黄连”交易动态: 上市货量:50吨 成交货量:49吨 成交金额:17552408.00元 区间价格312～400元每公斤 均价:357.6元每公斤 客商状态:购货商18人 货物新陈比例:8比2 二、各产区到市货物比例: 石柱、湖北、其它产区货物比例:   7比2比1。 三、黄连市场交易趋势:   1、到市货物: 为连商仓库货物。   2、成交货物: 以传统炕货物和机器炕货物，陈货成交。   3、购货商: 由外地期货商，本地企业、本地连商组成。   4、行情趋势: 货量放大，走势先慢后快，从交易走势程序看，以本地两家企业采购为主体，380至400元/KG为账期货物、因账期货物整调行情，导致均价上调，而现款行情趋势稳中下调，预计近期道地石柱黄连行情趋势以稳为主。 本资讯由“石柱黄连”行业协会代华举18315251477提供。"
广西百色市市辖区 干姜 快讯信息,2026-03-08 11:43,干姜,"【天地网讯】

今日行情，广西百色市市辖区，干姜目前的价钱过筛统货价是16元一公斤，走势稳定，货源充足。"
广东省肇庆市市辖区 桂枝 快讯信息,2026-03-08 11:41,桂枝,"【天地网讯】

今日行情，广东省肇庆市市辖区，桂枝（桂枝（桂尖，桂枝2/4规格9.5元每公斤4—6规格9.5元每公，6—8规格6.5元每公斤，8—10规格3.2元每公，10—12规格2.1元每公斤），），走势稳定，货源充足。"
广东省肇庆市市辖区 巴戟天 快讯信息,2026-03-08 11:38,巴戟天,"【天地网讯】

今日行情，广东省肇庆市市辖区，巴戟天（巴戟圆肉:手选特大直经1.2左右的120元每公斤。大肉1.0直径的95元每公。大肉直径0.7-0.9的80元每公。中大肉直径0.6-0.8的75元每公斤，小肉直径0.4-0.6的65元每公斤），走势稳定，货源充足。"
安徽省亳州市谯城区 紫菀 快讯信息,2026-03-08 10:57,紫菀,"【天地网讯】

今日十九里集，紫菀上货量不多，水洗切片8-10元，包检饮片20-21元。晒货成交约80%，随着后期天气转晴，产出量增加，后期行情难有波动！（本信息由产地专营户温超宇提供15856753737）"
