标题,发布时间,品种,内容
河北省保定市安国药市半夏走势稳定,2026-01-08 17:22,半夏,"【天地网讯】

今日行情，河北省保定市安国药市半夏（0.6以上）价格为40元/左右，（0.6以下）价格为24元/左右，走势稳定，货源充足，且该品上市量大，交易量稳定。"
安徽亳州十九里集镇与周边地产菊花走动平稳,2026-01-08 17:22,菊花,"【天地网讯】

安徽亳州十九里集镇与周边地产菊花行情稳定，货源按需走动为主，现地产菊花无硫货价格在30元左右，饮片货报价在40元以上50元左右。（本信息由菊花专营商赵老板15255958333——13696595143提供）"
安徽亳州十九里集镇与周边北京菊行情平平,2026-01-08 17:21,菊花,"【天地网讯】

北京菊供应有量，行情平平，安徽亳州十九里集镇与周边不包检的价格在20-25元之间不等，包农残货价格在45-50元之间不等。（本信息由菊花专营商赵老板15255958333——13696595143提供）"
安徽亳州十九里集镇与周边杭菊花行情暂时转稳,2026-01-08 17:21,菊花,"【天地网讯】

杭菊花由于2025年雨水影响了花朵的品种，产量不及预期大，但受需求不旺，行情上涨后暂时转稳，安徽亳州十九里集镇与周边朵菊要价在55-60元之间不等，江苏朵菊要价在25-35元之间不等，胎菊报价在50-70元之间不等。（本信息由菊花专营商赵老板15255958333——13696595143提供）"
四川省眉山市彭山川芎行情上涨,2026-01-08 16:06,川芎,"【天地网讯】

四川省眉山市彭山及乐山产地，川芎地里长势不好，缺窝比较严重，最近产地走动加快，但是好货难寻，现在一般质量炕货14元左右，晒货14.3左右，阴干货16元左右。（本信息由四川省眉山市彭山区商家盛万洪 13404063918 提供）"
四川省眉山市彭山区泽泻新货上市,2026-01-08 16:05,泽泻,"【天地网讯】

四川省眉山市彭山区泽泻现在新货陆续开始大量产新出来了，今年泽泻产量与去年相比，面积明显减少三分之一左右，但是今年每亩单产要比去年稍好一点，今年泽泻产新以来，人气不佳，和平常一样，主要原因可能是之前库存太大，所以现在很多药厂和商家都在观望状态。现产地9成左右干12.2元左右一公斤，复炕货13.2元左右一公斤。（本信息由四川省眉山市彭山区商家谢东 15882086908 提供）"
广西产区蜂蜜行情信息（2026年1月8日）,2026-01-08 15:39,蜂蜜,"【天地网讯】

【天气情况】近期广西主要产区天气以多云间晴为主，局部有少雨。全区日间气温区间稳定在 12℃ - 19℃ 之间。该温差范围与光照强度较为理想，环境表现稳定，处于蜂群活动的适宜气温区间，蜜源植物的分泌与蜂群的飞行采集均具备良好的可预期性。【产地与蜜源情况】目前，蜜源采集呈现多区域、多点位分布特征。货源并非集中于单一蜂场，而是通过南宁、崇左、贺州等多地林区的错峰布局，实现了采集工作的连续性。这种多点位分布的模式，有效确保了原料供应的稳定性，目前各区域采集工作衔接紧凑，货源保障处于正常周期。【蜂群状态】产区蜂群整体状态正常，采集节奏平稳。蜂农反馈蜂群在当前的物候条件下表现出较强的规律性，采集强度与进蜜速度均维持在正常水平。生产端节奏有序，未受到季节性交替的波动影响，整体采集环境处于可控状态。【行情与价格】近期原料端行情平稳，市场流通节奏有序。当前广西产区常规百花蜜的成交价多集中在 15 元左右 / KG。以上价格仅供行业伙伴交流参考，不作为最终定价依据，具体成交以实际沟通及品质指标为准。【结晶与技术点】受近期气温季节性下降影响，部分批次蜂蜜出现自然结晶现象，此为蜂蜜随环境温度变化的正常物理特征。信息来源与免责声明：此讯息由广西蜜博士·聪本戚提供｜18174705779仅作产地信息交流，不负责收蜜，请蜂农朋友勿加。如需转载，请完整保留以上信息说明。"
山东省临沂市平邑县丹参走势稳定,2026-01-08 14:16,丹参,"【天地网讯】

丹参 山东省临沂市平邑县丹参目前走势稳定，现产地打粉颗粒9元左右，异形片11元，打粉小条16.5，统货价格为13元左右，0.3号筛-0.5号筛各类规格丹参片（色选片） 精品价格为14元左右。"
陕西省商洛市商州区大荆镇蝉蜕货源供应有量,2026-01-08 12:22,蝉蜕,"【天地网讯】

陕西省商洛市商州区大荆镇蝉蜕目前货源供应有量，近期行情相对稳定运行，现大壳货价格在640元左右，中壳320元，货源走动平稳。（信息由陕西省商洛市商州区大荆镇商家王先生13098235039提供）"
陕西省商洛市商州区大荆镇南五味子货源正常走动,2026-01-08 12:22,南五味子,"【天地网讯】

陕西省商洛市商州区大荆镇南五味子近段时间货源正常走动为主，目前产地库存一般，行情平稳，现净货价格在33元左右，统货30元上下。（信息由陕西省商洛市商州区大荆镇商家王先生13098235039提供）"
河北省安国市1月9日旱半夏上市量大,2026-01-09 09:09,半夏,"【天地网讯】

1月9日，安国地产药材市场旱半夏上市量大，米珠23一25元／公斤，0.6一0.8之间34一36元／公斤，统货40一44元／公斤，价格变化不大，交易量尚可。（本信息由河北省安国市张志刚13400494640提供）"
甘肃岷县 党参市场上货量倍增 但价格微涨,2026-01-09 08:21,党参,"【天地网讯】

今日岷县党参市场上货量倍增，价格微涨，外地采购商较多，交易量加快，小中条干度达标是此轮价格上浮的主要原因。药厂35一45元/公斤，小条46一59元/公斤，中条60一79元/公斤，中大条80一95元/公斤，大条96一108元/公斤，特大条109一120元/公斤；党参散条24一28元/公斤，好党碴15一20元/公斤，党参薄片、厚片、段子等按不同规格（0.3—1.4）价格在55一140元/公斤，野生党参价格在260一420元/公斤。（此信息由西岭源农民专业合作社18219820026<微信同号>提供）。"
河北省保定市安国市半夏供应充足,2026-01-08 20:33,半夏,"【天地网讯】

今日行情,河北省保定市安国市的半夏(统货)价格为40-42元/公斤，(米珠)价格为25-26元//公斤，(6-8)价格为35-37元/公斤，走势畅快，货源充足，且该品上市量大，热度走高。"
1月8日甘肃岷县当归城市场行情与交易播报,2026-01-08 19:27,未知品种,【天地网讯】
黑龙江省大庆市大同区苍术行情回落后基本转稳,2026-01-08 17:43,苍术,"【天地网讯】

黑龙江省大庆市大同区苍术采挖已经结束，前阶段价格出现上涨，但近日行情回落后基本转稳，现产地统货个子售价在25-26元。（本信息由黑龙江省大庆市大同区丁研15045998586提供）"
黑龙江省大庆市大同区板蓝根价格暂时转稳,2026-01-08 17:41,板蓝根,"【天地网讯】

黑龙江省大庆市大同区板蓝根价格上涨后暂时转稳，但依然有商询价与购进，货源走动情况良好，现产地售价在9.5-10元。（本信息由黑龙江省大庆市大同区丁研15045998586提供）"
黑龙江省大庆市大同区大青叶交易尚可,2026-01-08 17:40,大青叶,"【天地网讯】

黑龙江省大庆市大同区大青叶近日一直有商询价与购进，货源交易尚可，目前产地收购价在2-2.5元，对外售价在2.6-2.7元。（本信息由黑龙江省大庆市大同区丁研15045998586提供）"
黑龙江省大庆市大同区桔梗行情暂时平稳,2026-01-08 17:40,桔梗,"【天地网讯】

黑龙江省大庆市大同区桔梗采挖已经结束，行情暂时平稳，目前产地带皮个子价格在10元左右，花皮的（半刮皮）的价格咋14-15元。（本信息由黑龙江省大庆市大同区丁研15045998586提供）"
内蒙古赤峰产地苍术行情回落后基本转稳,2026-01-08 17:37,苍术,"【天地网讯】

内蒙古赤峰产地苍术还有一定供应，行情回落后基本转稳，货源走动不及前阶段，现本地个子原统货价格26-27元左右。（本信息由赤峰天顺中药材有限公司 赵振彬15847050708 提供，专注赤峰道地药材，用心服务全国客户）"
河北省承德市隆化县苍术行情暂时转稳,2026-01-08 17:29,苍术,"【天地网讯】

河北省承德市隆化县苍术采挖已经结束，目前产地还有一定供应，且上下波动的行情暂时转稳，现产地带朱砂点个子九成干的价格在24-26元之间不等。（河北省承德市隆化县地源中药材种植专业合作社杨玉书13903149599提供）"
陕西西安市户县九节菖蒲行情表现向好,2026-01-09 10:58,九节菖蒲,"【天地网讯】

陕西西安市户县九节菖蒲随着货源供应趋紧，行情表现向好，现本地九节菖蒲售价在290元左右，要价坚挺。（本信息由陕西西安市户县商家康先生13468820088提供）"
湖北省谷城县红藤片（大血藤）大量产新中,2026-01-09 10:51,大血藤,"【天地网讯】

湖北省谷城县红藤片（大血藤）近日价格稳定，正在大量产新中，饮片统货价格在6-7元左右一公斤，10号筛以下的走动较快，价格在6元左右，10号以上质量好的饮片价格在8-9元左右一公斤，10-20的饮片较为畅销，价格在10元以上，药厂货统货货在5元左右一公斤，货源充足，走势稳定。(本信息由湖北省谷城县 襄峪中药材有限公司 李小刚  19072085897 提供信息）"
湖北省襄阳市首乌藤正在产新中 价格稳定,2026-01-09 10:50,首乌藤,"【天地网讯】

湖北省襄阳市首乌藤正在产新中，但近期价格没有太大的变化，4-7的饮片在12-14元，每公斤3-10的饮片在10元左右每公斤，药厂货价格也比较稳定，价格5-6元左右。(本信息由湖北省谷城县 襄峪中药材有限公司 李小刚  19072085897 提供信息）"
安国天花粉最新行情,2026-01-09 09:47,天花粉,"【天地网讯】

今日行情，河北省保定市安国药市天花粉1月9号天花粉上市量大，小统片16-19元，统片24-26元，（本信息是由河北安国张兰18733246633提供）"
广东省云浮市郁南县 巴戟天走势稳定,2026-01-09 09:46,巴戟天,"【天地网讯】

今日行情，广东省云浮市郁南县，巴戟天（巴戟圆肉:手选特大直经1.2左右的110元每公斤。大肉1.0直径的80元每公。大肉直径08-1.0的78元每公。中大肉直径06-08的65元每公斤！小肉直径04-06的55元。每公斤），走势稳定，货源充足。
巴戟圆肉:手选特大直经1.2左右的110元每公斤。大肉1.0直径的80元每公。大肉直径08-1.0的78元每公。中大肉直径06-08的65元每公斤！小肉直径04-06的55元。每公斤，"
广东省云浮市郁南县 桂枝走势稳定,2026-01-09 09:35,桂枝,"【天地网讯】

今日行情，广东省云浮市郁南县，桂枝（桂枝（桂枝1/4规格9.5元每公斤4—6规格9.5元每公，6—8规格6.5元每公斤，8—10规格3.2元每公，10—12规格2.1元每公斤），走势稳定，货源充足），走势稳定，货源充足，货源充足。
桂枝（桂枝1/4规格9.5元每公斤4—6规格9.5元每公，6—8规格6.5元每公斤，8—10规格3.2元每公，10—12规格2.1元每公斤），走势稳定，货源充足"
广东省韶关市曲江区火炭母草价格稳定,2026-01-09 09:33,火炭母草,"【天地网讯】

广东省韶关市曲江区火炭母草行情走货较快，价格稳定，统货在4元左右。（本信息由广东省韶关市曲江区商家 吴志良 15089866893 提供）"
河北省安国市1月9日防风上市量大,2026-01-09 09:12,防风,"【天地网讯】

2026年1月9日，安国地产药材市场，防风上市量大，籽播统货l2一14元/公斤，选条20一23元/公斤，价格坚挺，交易顺畅。（本信息由河北省安国市商家13111658108提供）"
河北省安国市1月9日北沙参上市量减少,2026-01-09 09:11,北沙参,"【天地网讯】

2026年1月9日，安国地产药材市场,北沙参上市量减少，质量下降，统货个子15一18元／公斤，选货个子24一27元／公斤，装箱原条27一30元／公斤，价格坚挺，交易量尚可。（本信息由河北省安国市张志刚13400494640提供）"
河北省安国市1月9日天花粉交易顺畅,2026-01-09 09:10,天花粉,"【天地网讯】

1月9日，安国地产药材市场天花粉上市量大，小统个子14一17元／公斤，大统个子24一27元／公斤，交易顺畅。（本信息由河北省安国市张志刚13400494640提供）"
河南省洛阳市老城区全蝎走势比较平稳,2026-01-09 12:13,全蝎,"【天地网讯】

今日行情，河南省洛阳市老城区的全蝎近期走势平稳，整体货量较去年相比有所减少，临近过年，库存量较往年，走势比较平稳，目前3到5厘米统货价格在1360元左右，4到6厘米大统货价格在1460元左右，选货5厘米以上价格在1680元左右，规格不同，价格不同，另提供精美全蝎礼盒，260元一套，活蝎子都可以提供，联系电话19937986623，18638859975"
陕西西安市户县薤白行情疲软,2026-01-09 11:20,薤白,"【天地网讯】

陕西西安市户县薤白虽有货供应，但最近整体走货不快，行情疲软运行，现本地统货售价在39元左右。（本信息由陕西西安市户县商家康先生13468820088提供）"
陕西西安市户县紫苏子行情稳中显疲,2026-01-09 11:19,紫苏子,"【天地网讯】

陕西西安市户县紫苏子供应有量，但前来购货商少，货源走动不快，且行情稳中显疲，现本地紫苏子净货价格在14-14.5元，统货价格在12.5元左右。（本信息由陕西西安市户县商家康先生13468820088提供）"
陕西西安市户县南五味子行情又显下滑,2026-01-09 11:18,南五味子,"【天地网讯】

陕西西安市户县南五味子由于走动不快，行情较前期又显下滑，目前本地符合药典要求的饮片价格在34-35元，统货价格在30元左右。（本信息由陕西西安市户县商家康先生13468820088提供）"
陕西西安市户县蝉蜕要价坚挺,2026-01-09 11:17,蝉蜕,"【天地网讯】

陕西西安市户县蝉蜕近日走动一般，但货源供应下降，要价坚挺，现本地蝉蜕半沙半淤货报价在600元以上650元左右。（本信息由陕西西安市户县商家康先生13468820088提供）"
陕西省商洛市商州区野菊花走动一般,2026-01-09 11:11,野菊花,"【天地网讯】

陕西省商洛市商州区野菊花走动一般，行情稳定，产地货源有量，统货价格在32元左右。（本信息由陕西省商洛市商州区刘先生13991420002提供）"
陕西省商洛市商州区牡丹皮走动平稳,2026-01-09 11:11,牡丹皮,"【天地网讯】

陕西省商洛市商州区牡丹皮走动平稳，行情保持稳定，产地货源充足，本地牡丹皮去皮红丹开片货价格在80元左右，开片黑丹价格在45元左右。（本信息由陕西省商洛市商州区刘先生13991420002提供）"
陕西省商洛市商州区蝉蜕走动平稳,2026-01-09 11:10,蝉蜕,"【天地网讯】

陕西省商洛市商州区蝉蜕走动平稳，行情有所上扬，产地货源有量，大壳蝉蜕纯前期货价格在630元左右。（本信息由陕西省商洛市商州区刘先生13991420002提供）"
陕西省商洛市商州区桔梗走动平稳,2026-01-09 11:10,桔梗,"【天地网讯】

陕西省商洛市商州区桔梗走动平稳，行情保持稳定，产地货源有量，本地桔梗选条价格在45元左右，带皮药厂货价格在18元左右。（本信息由陕西省商洛市商州区刘先生13991420002提供）"
湖北省襄阳市谷城县青风藤大量产新中,2026-01-09 11:00,青风藤,"【天地网讯】

湖北省襄阳市谷城县青风藤大量产新中，价格稳定，饮片统货在6元每公斤，挑选过的饮片在7元以上一公斤，规格不同价格也不一样，含量高的根片价格平稳，在10元以上，预估后期走势稳定。产地常年备有大货。(本信息由湖北省谷城县 襄峪中药材有限公司 李小刚  19072085897 提供信息）"
广西桂林市灌阳县千里光行情继续平淡,2026-01-09 14:18,千里光,"【天地网讯】

广西桂林市灌阳县千里光货源供应量一般，近期交易量小，行情继续平淡运行，现切段货价格在3.2元左右，后市看平。（信息由广西桂林市灌阳县商家唐先生13607839811提供）"
广西桂林市灌阳县金樱子产新结束,2026-01-09 14:17,金樱子,"【天地网讯】

广西桂林市灌阳县金樱子产新结束已有一段时间，近段时间产地货源依然走不动，行情前期探底，近来没有变化，现一般货价格在8-9元之间，后期好货11元上下。（信息由广西桂林市灌阳县商家唐先生13607839811提供）"
广西桂林市灌阳县淡竹叶交易量依然有限,2026-01-09 14:17,淡竹叶,"【天地网讯】

广西桂林市灌阳县淡竹叶货源供应量不大，近期商家购进积极性低，交易量有限，行情继续在偏低位运行，现条子价格在8元左右，切好的8.5元。（信息由广西桂林市灌阳县商家唐先生13607839811提供）"
广西桂林市灌阳县佩兰货源充足,2026-01-09 14:16,佩兰,"【天地网讯】

广西桂林市灌阳县佩兰目前货源供应充足，近期货源走动缓慢，行情继续低迷运行，现统货价格在2.5元左右，切段的3元。（信息由广西桂林市灌阳县商家唐先生13607839811提供）"
广西桂林市灌阳县金樱根货源走动一般,2026-01-09 14:16,金樱根,"【天地网讯】

广西桂林市灌阳县金樱根商家正常收购，产地货源供应稳定，近期走动一般，价格变化不明显，现统货价格在5-5.3元之间，该品厂家时有计划采购，今年销势良好。（信息由广西桂林市灌阳县商家唐先生13607839811提供）"
广西桂林市灌阳县岗梅根货源供应有量,2026-01-09 14:15,岗梅根,"【天地网讯】

广西桂林市灌阳县岗梅根货源供应有量，近段时间时有走动，但行情继续偏低，现统货价格在3.8元左右，产地资源充足。（信息由广西桂林市灌阳县商家唐先生13607839811提供）"
广西桂林市灌阳县败酱草货源充足,2026-01-09 14:15,败酱,"【天地网讯】

广西桂林市灌阳县败酱草产地货源充足，近期走动一般，行情相比前期变化有限，现早期货价格在3..5元左右，中后期货3元。（信息由广西桂林市灌阳县商家唐先生13607839811提供）"
广西桂林市灌阳县葛花货源不多,2026-01-09 14:14,葛花,"【天地网讯】

广西桂林市灌阳县葛花现在的货源不多，今年走动不快，行情表现不乐观。目前价格大花为14-15元，小花11-12元。（信息由广西桂林市灌阳县商家唐先生13607839811提供）"
新疆维吾尔自治区肉苁蓉货源丰富 价格低迷,2026-01-09 13:49,肉苁蓉,"【天地网讯】

新疆维吾尔自治区管花肉苁蓉（硬大芸、木芝大芸），和荒漠软大芸年前因天气原因，产新结束，现在走动缓慢，最近价格低迷。今年2月份会继续采挖，后市价格可能还要掉。   特别是软大芸2026年采挖面积超于2025年的2倍多，商家预计当地一年的产量，足够市场三年的需求量。后市行情，需谨慎判定。现管花肉苁蓉（硬大芸）统货每公斤9-10元左右（干度不是太好），软大芸小货12元左右，中货22元左右。（本信息由 于田县皖新中凯肉苁蓉生物有限责任公司  张从银 15999388126 提供）"
陕西省汉中市留坝县猪苓走动平稳,2026-01-09 13:34,猪苓,"【天地网讯】

陕西省汉中市留坝县猪苓走动平稳，行情与前期保持平稳，产地货源有量，现本地中统货价格在110-115元之间，大统货价格在120-130元之间。（本信息由陕西省汉中市留坝县王勋18991606238提供）"
河南焦作武陟县地黄走势一般,2026-01-09 16:15,地黄,"【天地网讯】

河南焦作武陟县地黄走货一般， 产地处于产新期， 鲜货加工， 价格稳定运行， 目前鲜货价格 0.8-0.85元每斤，40支货价格为16元每公斤，60支货价格为14元每公斤，后市持续关注产新情况。（该信息由河南武陟润鑫种植专业合作社柴顺营13598511115提供）"
辽宁抚顺新宾产地细辛价格稍微回升,2026-01-09 16:10,细辛,"【天地网讯】

辽宁抚顺新宾产地细辛前价格略微回升，走货加快，中等统货个子价格为 220一230元每公斤，好货240元每公斤，全检饮片段425元每公斤左右，精品段儿500元每公斤左右，今年含量达标货较少，后市持续关注。（ 该信息由辽宁产地合作社焦先生15941314056提供）"
河北省石家庄市赞皇县 酸枣仁 快讯信息,2026-01-09 15:56,酸枣仁,"【天地网讯】

今日行情，河北省石家庄市赞皇县，酸枣仁（98）价格为380元/公斤，（统货）价格为370元/公斤，（精品）价格为420元/公斤，走势畅快，货源充足。
产地价格急剧上涨，始终有外地客商排队高价抢货。"
陕西省商洛市商南县桑白皮走动不快,2026-01-09 14:30,桑白皮,"【天地网讯】

今日行情，陕西省商洛市商南县桑白皮刮皮率80%个子21元/公斤，野生带皮毛桑11元/公斤，库存有量，走动不快。以上资讯由陕西商南秦岭产地小吴中药材15877621038提供。"
陕西省商洛市商南县野菊花走势稳定,2026-01-09 14:28,野菊花,"【天地网讯】

今日行情，陕西省商洛市商南县野菊花（90颗粒）价格为32元/公斤，80颗粒30元/公斤，走势稳定，货源供应尚且有量。以上资讯由陕西商南秦岭产地小吴中药材15877621038提供。"
陕西省商洛市商南县葛根价格回落,2026-01-09 14:25,葛根,"【天地网讯】

今日行情，陕西省商洛市商南县葛根正值产新期，价格回落，今年新货产出量很少，鲜葛根购销价八毛上下一单斤，药厂统片5元左右一公斤，货源走动平稳，产地库存越来越少，后市行情预估稳中有涨，以上资讯由陕西商南秦岭产地小吴中药材15877621038提供。"
广西桂林市灌阳县骨碎补行情转稳,2026-01-09 14:21,骨碎补,"【天地网讯】

广西桂林市灌阳县骨碎补前期价格走低，近来暂时转为稳定运行，现产地货源不多，走动不快，统货价格在43-45元之间。（信息由广西桂林市灌阳县商家唐先生13607839811提供）"
广西桂林市灌阳县菝葜行情表现平平,2026-01-09 14:21,菝葜,"【天地网讯】

广西桂林市灌阳县菝葜近期货源走动缓慢，行情表现平平，现统片价格在4-4.5元之间，产地库存有量。（信息由广西桂林市灌阳县商家唐先生13607839811提供）"
陕西省商洛市洛南县蝉蜕走势畅快,2026-01-09 14:21,蝉蜕,"【天地网讯】

今日行情，陕西省商洛市洛南县蝉蜕（半沙半泥货）价格为630元/公斤左右，走势畅快，货源见底，目前价格反弹回升，但到达农户心里预期价格，出货愿望强烈，库存逐渐见底，产地大货基本已出，但目前仍可以组织大货；其中壳蝉脱走动较慢，货源充足，价格在310元/公斤左右。"
广西桂林市灌阳县辣蓼草货丰价低,2026-01-09 14:20,辣蓼草,"【天地网讯】

广西桂林市灌阳县辣蓼草货源继续丰厚，近期走动变化不大，行情继续在偏低位徘徊，现统货在2.6-2.7元之间。（信息由广西桂林市灌阳县商家唐先生13607839811提供）"
河南省南阳市西峡县猪苓行情平稳,2026-01-09 18:01,猪苓,"【天地网讯】

河南省南阳市西峡县猪苓年前采挖基本结束，目前走动正常，行情平稳，现产地统货因质量不等、售价稍有悬殊，价格在95-100元之间，大统货价格在110-120元之间不等。（本信息由河南省西峡县太平镇马健翔15038795135提供）"
河南省南阳市西峡县连翘行情基本稳定,2026-01-09 18:00,连翘,"【天地网讯】

河南省南阳市西峡县连翘走动平稳，行情基本稳定，现产地青翘一般货售价在35-40元之间不等，而挥发油合格的货售价在43-45元之间不等。（本信息由河南省西峡县太平镇马健翔15038795135提供）"
河南信阳产地目前蜈蚣走货畅快,2026-01-09 17:09,蜈蚣,"【天地网讯】

河南信阳产地目前蜈蚣走货畅快，行情基本平稳，产地货源一般，16公分3.1元每条，15公分2.9元每条，14公分2.5元每条，13公分的2.2元每条，12公分的1.2元每条，小条统货0..7元每条，后市关注。（ 该信息由河南信阳产地商家张广友13937681769提供）"
河南信阳产地近期野菊花走货顺畅,2026-01-09 17:07,野菊花,"【天地网讯】

河南信阳产地近期野菊花走货顺畅，价格上浮，该品种今年减产严重，产地好货较少，目前一级货48元每公斤，90货38-40每公斤，药厂货33-35元每公斤，后市持续关注。（ 该信息由河南信阳产地商家张广友13937681769提供）"
甘肃张掖市民乐县产地近期板蓝根走货平稳,2026-01-09 16:51,板蓝根,"【天地网讯】

甘肃张掖市民乐县产地近期板蓝根走货平稳，近期产地持货者出售意愿较强，客商对产地货源关注度较高，但市场整体走动速度偏慢。目前市场保有量巨大，库存量较为庞大，终端市场需求表现薄弱，消化量有限，受此影响，板蓝根价格短期内上涨难度较大，行情或持续平稳运行。目前甘肃药厂货价格在9.5-10元/公斤，饮片货价格为10.5-11元/公斤；东北货价格8.6-8.8元/公斤，新疆货价格8.5-9.2元/公斤。（该信息由甘肃民乐县诚泰药业有限公司韩祖德 13830692270提供）"
河南焦作温县产地山药价格上涨,2026-01-09 16:49,山药,"【天地网讯】

河南焦作温县产地山药价格上涨，目前山药水洗货价格为6-6.5元每公斤，净条12-14元 每公斤，光条片0.7—1.2 的价格为18-19元每公斤， 1.2—1.5的货价格为22-23元每公斤，1.5-2.0的价格为33-35元每公斤，1.8—2.5的价格为43-45元每公斤， 后市持续关注。（ 该信息由河南焦作温县晟恒中药材有限公司15539148381提供）"
河南焦作武陟县地黄价格稳定,2026-01-09 16:46,地黄,"【天地网讯】

河南焦作温县地黄价格稳定，鲜货产新基本结束，走货平稳，地黄大统货9.5-10元每公斤，大三级个子价格为10.5—10.7元每公斤，二级个子价格为13.8—14元每公斤， 后市持续关注。（ 该信息由河南焦作温县晟恒中药材有限公司15539148381提供）"
安徽产地桔梗持续产新中，走货一般,2026-01-09 16:33,桔梗,"【天地网讯】

安徽产地近期桔梗近期走货迟缓，行情保持平稳运行，产地货源还可以，目前内蒙产区产新基本结束，走货一般，甘肃产区目前正值产新，产地产地正在加工中， 甘肃新货还未大量上市，安徽产区近期持续产新， 统货价格为为30元每公斤。目前内蒙带皮桔梗报价为10元左右每公斤，刮皮货为18~20元每公斤，其他产区陆续批量上市。除内蒙古外，安徽、陕西、甘肃等地货源依旧紧俏，后市值得持续关注。（该信息由安徽恩禾中药材有限公司 谢陆宇 13655650117提供）"
湖南产地龙牙百合近期走货畅快,2026-01-09 16:24,百合,"【天地网讯】

湖南产地龙牙百合近期走货畅快，关注人气较高，价格平稳运行，产地货源还可以，精选特级价格为135-145元每公斤，精选二级价格为130-135元每公斤，精选三级价格为118-130元每公斤，中三王115-120元每公斤，小三王95-105元每公斤，后市持续关注。（ 该信息由湖南宏裕升百合袁女士13874222987提供）"
河南焦作武陟县山药走货一般,2026-01-09 16:20,山药,"【天地网讯】

河南焦作武陟县山药近期走货一般， 价格稳定运行，产地有货源充足，山药圆片0.8-1.2的价格为22元每公斤， 1.5-1.8的价格为38元每公斤。（该信息由河南武陟润鑫种植专业合作社柴顺营13598511115提供）"
