标题,发布时间,品种,内容
靖州茯苓交易市场鲜茯苓行情平稳,2025-12-26 16:10,茯苓,"【天地网讯】

今日行情，湖南省靖州鲜茯苓交易市场来货渐渐减少，日到货量维持在70-100吨，货源以自生茯苓为主，行情平稳运行，成交价格区间在5.5-8.5元/公斤。干货走势节奏较前期略有加快，价格整体持稳，边丁、统丁价格约14-18元/公斤，一刀丁价格约18-22元/公斤，中心丁价格约21-25元/公斤，优质中心丁价格约28-30元/公斤。"
甘肃省庆阳市正宁县柴胡走势稳定,2025-12-26 13:44,柴胡,"【天地网讯】

今日行情，甘肃省庆阳市正宁县的柴胡走势稳定，货源充足，药厂货54-56元，软切货60元左右，硬切70元左右，且山西客商积极性比较高，走货快。需要的联系19996270003"
湖南省古丈县黄精货源走动畅快,2025-12-26 12:54,黄精,"【天地网讯】

湖南省古丈县黄精近年种植有量，今年市场的需求良好，产地货源走动畅快，行情也比去年上涨，现30g-60g的价格在65元左右，60g以上的75元左右。（信息由湖南省古丈县商家向先生17742618869提供）"
湖南省古丈县通草近段时间价格回落,2025-12-26 12:53,通草,"【天地网讯】

湖南省古丈县通草近段时间新货正在加工上市之中，由于走动不快，最近二十多天价格出现了较为明显的回落，现大条切好的片价格在320元左右。（信息由湖南省古丈县商家向先生17742618869提供）"
湖南省古丈县金果榄货源不多,2025-12-26 12:52,金果榄,"【天地网讯】

湖南省古丈县金果榄资源主要是以野生为主，这段时间正在产新，近年产量一直不大，目前产地库存有量但不多，统货价格在145元左右。（信息由湖南省古丈县商家向先生17742618869提供）"
四川省巴中市恩阳区鱼腥草货源走动较好,2025-12-26 12:51,鱼腥草,"【天地网讯】

四川省巴中市恩阳区鱼腥草近月货源走动较好，行情也比往时有一定的好转，现野生货价格在5.2-5.3元之间，产地货源有量。（信息由四川省巴中市恩阳区商家青金文13219280055提供）"
四川省巴中市恩阳区金钱草货源不多,2025-12-26 12:51,金钱草,"【天地网讯】

四川省巴中市恩阳区金钱草今年产量不大，现产地剩余的货源已经不多，近期走动较好，行情稳中向好，现大叶统货价格在15元左右。（信息由四川省巴中市恩阳区商家青金文13219280055提供）"
重庆市渝北区通草近期行情回落,2025-12-26 12:48,通草,"【天地网讯】

重庆市渝北区大通草产新加工工作在继续进行中，近段时间货源走动一般，行情相比前期回落，现切好的货源价格在320元左右。（信息由重庆市渝北区商家卢先生18203037979提供）"
广西北海市牡蛎货源供应充足,2025-12-26 12:47,牡蛎,"【天地网讯】

广西北海市牡蛎产量一直都较大，近段时间货源走动一般，行情继续在偏低位运行，现统个价格在0.9元左右。（信息由广西北海市商家庞先生13807896789提供）"
山东省临沂市平邑县 山楂行情稳定,2025-12-26 12:25,山楂,"【天地网讯】

山东省临沂市平邑县山楂投料价格为5元左右，饮片级晒货6元左右，统货5元左右， 饮片烘干有籽货7元左右，山楂碎肉7元左右，花茶专用片7.5元左右，地炕6.5元左右，饮片烘干无籽货16元左右，优质中心，山楂碎肉6.5-9元左右，联系电话15092989988"
河南焦作武陟县山药近期走货顺畅,2025-12-26 12:13,山药,"【天地网讯】

河南焦作武陟县山药近期价格稳定运行，走货顺畅，产地有货可供，山药圆片0.8-1.2的价格为22元每公斤， 1.5-1.8的价格为38元每公斤。（该信息由河南武陟润鑫种植专业合作社柴顺营13598511115提供）"
河南焦作武陟县地黄正值产新期，鲜货持续加工,2025-12-26 12:09,地黄,"【天地网讯】

河南焦作武陟县地黄正值产新期， 目前鲜货价格 0.8-0.85元每斤，40支货价格为16元每公斤，60支货价格为14元每公斤，后市持续关注产新情况。（该信息由河南武陟润鑫种植专业合作社柴顺营13598511115提供）"
河南确山县产地近期艾叶走货正常,2025-12-26 12:05,艾叶,"【天地网讯】

河南确山县产地近期艾叶走货正常， 价格平稳运行，产地货源还可以，饮片货手选收购价10元，后市持续关注。（ 该信息由河南确山县天源中药材发展限公司刘根福13703802061提供）"
河南确山县白花蛇舌草走货一般,2025-12-26 11:56,白花蛇舌草,"【天地网讯】

河南确山县白花蛇舌草走货一般，价格稳定运行，产地货源充足，价格选货收购价5元每公斤，估计没有涨价希望，后市持续关注。（ 该信息由河南确山县天源中药材发展限公司刘根福13703802061提供）"
河南确山产地近期半枝连走动正常,2025-12-26 11:37,半枝莲,"【天地网讯】

河南确山产地近期半枝连走动正常，价格稳定运行， 产地货源一般，头茬货收购价6元每公斤，二、三茬货收购价3.5元每公斤， 后市持续关注。（ 该信息由河南确山县天源中药材发展限公司刘根福13703802061提供）"
河南确山产地近期夏枯草走货顺畅,2025-12-26 11:34,夏枯草,"【天地网讯】

河南确山产地近期夏枯草走货顺畅，产地货源一般， 价格稳定运行，目前统货收购价格17元每公斤，一级饮片货收购价28元每公斤，二级饮片收购价26元每公斤，后市持续关注。（ 该信息由河南确山县天源中药材发展限公司刘根福13703802061提供）"
河南省南阳市西峡区域天花粉还没有产新,2025-12-26 11:29,天花粉,"【天地网讯】

河南省南阳市西峡区域天花粉还没有产新，陈货有少量库，现统片价格5元-6元每公斤， 后市持续关注。（本条信息由西峡县众益中药材有限公司13937705733王晓伟提供)"
河南省南阳市西峡产区的连翘近期走动迟缓,2025-12-26 11:26,连翘,"【天地网讯】

河南省南阳市西峡产区的连翘近期走动迟缓，有库存，价格低商户买过意愿不强，现一般统货价格36元-40元每公斤，挥发油合格货价格42元-46元每公斤，无柄合格货52-55元每公斤，后市多商关注。（本条信息由西峡县众益中药材有限公司13937705733王晓伟提供)"
河南省南阳市西峡产区的山茱萸走动正常,2025-12-26 11:24,山茱萸,"【天地网讯】

河南省南阳市西峡产区的山茱萸产新已接近尾声，今年总体货量不大，质量不如去年，购销走动正常，现在药厂投料货价格43-48元每公斤，一般饮片质量货价格53-58元每公斤，精品货价格60-65元每公斤，行情趋稳，后市持续关注。（本条信息由西峡县众益中药材有限公司13937705733王晓伟提供)"
山东省临沂市平邑县 山楂行情稳定,2025-12-26 11:02,山楂,"【天地网讯】

山东省临沂市平邑县山楂投料价格为5元左右，饮片级晒货6元左右，统货5元左右， 饮片烘干有籽货7元左右，山楂碎肉7元左右，花茶专用片7.5元左右，地炕6.5元左右，饮片烘干无籽货16元左右，优质中心，山楂碎肉6.5-9元左右，联系电话15092989988"
山东省临沂市平邑县 山楂行情稳定,2025-12-26 11:02,山楂,"【天地网讯】

山东省临沂市平邑县山楂投料价格为5元左右，饮片级晒货6元左右，统货5元左右， 饮片烘干有籽货7元左右，山楂碎肉7元左右，花茶专用片7.5元左右，地炕6.5元左右，饮片烘干无籽货16元左右，优质中心，山楂碎肉6.5-9元左右，联系电话15092989988"
河南焦作产地近期山药持续产新，价格上涨,2025-12-26 10:51,山药,"【天地网讯】

河南焦作产地近期山药持续产新，价格上涨，走货顺畅，去皮毛条15.5元每公斤，光条片1.2-1.5的25元每公斤，1.5-1.8的35元每公斤，后市持续关注。（ 该信息由河南焦作武陟县明科家庭农场商家李艳明17630459848提供）"
河南焦作武陟县地黄产地走货顺畅,2025-12-26 10:48,地黄,"【天地网讯】

河南焦作武陟县地黄产地走货顺畅，价格稳定运行，买货人增加，该品种处于产新期， 产地鲜货加工中， 产地货源还可以，现产地统货10.5元每公斤，三级货价格为11.5元每公斤，后市持续关注。（ 该信息由河南焦作武陟县明科家庭农场商家李艳明17630459848提供）"
新疆乌鲁木齐市大枣走势畅快,2025-12-26 10:03,大枣,"【天地网讯】

今日行情，新疆乌鲁木齐市大枣（特级灰枣）价格为14元/公斤，（一级灰枣）价格为12元/公斤，（二级灰枣）价格为9元/公斤，走势畅快，货源充足。（信息来源张女士18599029690）"
山西省侯马市产地远志正值产新,2025-12-26 10:01,远志,"【天地网讯】

山西省侯马市产地远志正值产新，产地走动缓慢，行情有所下滑，远志头价格在10元左右，远志棍价格在50元公斤，远志筒价格在220元左右，野生远志筒价格在300元左右，后续行可继续关注。（本信息有山西省临汾市侯马市王新明13753764945提供）"
山西省临汾市侯马市瓜蒌行情有所下滑,2025-12-26 10:00,瓜蒌,"【天地网讯】

山西省临汾市侯马市瓜蒌正值产新，行情有所下滑，产地货源不多，瓜蒌碎粒价格在5元/公斤，瓜蒌丝价格在15元/公斤，后续行情可继关注。（本信息由山西省临汾市侯马市王新明13753764945提供）

0"
山西省侯马市苦参正值产新,2025-12-26 09:59,苦参,"【天地网讯】

山西省侯马市苦参正值产新，苦参种植面积不大，产量小，碎粒沫价格在3元/公斤，小混片价格在7.5元/公斤，0.4以上价格在11元左右，后续行情可继续关注。（本信息由山西省临汾市侯马市王新明13753764945提供）"
云南省楚雄彝族自治州楚雄市 鸡血藤货源充足,2025-12-26 09:57,鸡血藤,"【天地网讯】

今日行情，云南省楚雄彝族自治州楚雄市，鸡血藤（过筛子统货）价格为3.8元/公斤，走势稳定，货源充足。（信息来源云南乐融中药材种植有限公司张女士18808780226）"
陕西汉中延胡索基地农事进度更新及行情走势,2025-12-26 09:49,延胡索,"【天地网讯】

近期，延胡索基地已全面完成松土施肥工作，为药材后续生长筑牢养分基础，田间管护有序推进。当前产地行情表现稳健，元胡统货个子报价65元/公斤，趁鲜切制饮片75元/公斤，价格与近期市场上涨态势保持一致，货源走销顺畅。（本信息由陕西省汉中市城固县商家向先生15129166968提供）"
山东省临沂市平邑县 山楂货源充足,2025-12-25 21:37,山楂,"【天地网讯】

今日行情，山东省临沂市平邑县，山楂产新完毕，各规格报价如下，货源稳定，欢迎询单： •电商精选：山楂圈，14.5元/公斤 • 投料规格：统货4.5元左右， • 地炕货6元左右 • 饮片晒货：统片5元左右，优质晒片6.5元左右 • 饮片烘干：有籽货7元左右，无籽精选货17.5元左右（颜色鲜艳） • 其他：中心圈、山楂肉、山楂籽等货源充足 产地直供｜山东省临沂市平邑县流峪镇 支持一件代发，诚信经营，质量保证。 📞 联系：中科药材 李登科 15689603301（微信同号） 信息仅供参考，欢迎详询洽谈"
山东省临沂市平邑县 山楂货源充足,2025-12-25 21:37,山楂,"【天地网讯】

今日行情，山东省临沂市平邑县，山楂产新完毕，各规格报价如下，货源稳定，欢迎询单： •电商精选：山楂圈，14.5元/公斤 • 投料规格：统货4.5元左右， • 地炕货6元左右 • 饮片晒货：统片5元左右，优质晒片6.5元左右 • 饮片烘干：有籽货7元左右，无籽精选货17.5元左右（颜色鲜艳） • 其他：中心圈、山楂肉、山楂籽等货源充足 产地直供｜山东省临沂市平邑县流峪镇 支持一件代发，诚信经营，质量保证。 📞 联系：中科药材 李登科 15689603301（微信同号） 信息仅供参考，欢迎详询洽谈"
山东省临沂市平邑县丹参走势平稳,2025-12-25 21:16,丹参,"【天地网讯】

今日行情，山东省临沂市平邑县丹参正值产新，价格总体保持稳定，目前产新货价格约10元左右/公斤，打粉颗粒价在9元左右，异性片约11元，精品价格在14元上下。其中，丹参打粉小条干净无杂，货源充足，走势平稳，其精品规格无杂质、无芦头，适宜颗粒投料（如需鲜货请提前联系）。另供应0.3筛至1.0筛的色选饮片。 （本信息由中科药材李登科提供，联系电话：15689603301，仅供参考）"
河北省保定市安国药市半夏走势缓慢,2025-12-25 19:24,半夏,"【天地网讯】

今日行情，河北省保定市安国药市半夏（0.6以上）价格为40元/左右，（0.6以下）价格为24元/左右，走势缓慢，货源充足，上市量大，交易量不大。"
安徽亳州十九里集镇白芍行情保持高位,2025-12-25 18:33,白芍,"【天地网讯】

白芍随着价格升高，今天十九里集镇依然有商持续购货，行情保持高位，一二级的优质货售价在80-90元之间不等，一般一二级货报价在60-80元之间不等，三四级报价在50元左右，而尾芍报价在20元左右。（本信息由安徽亳州十九里集镇商家杜井峰13605688580提供）"
安徽亳州十九里集镇紫菀行情比较稳定,2025-12-25 18:32,紫菀,"【天地网讯】

地产紫菀近阶段行情比较稳定，今天十九里集镇切好的片子一般价格在12-13元，切好的片子包检货价格在15-20元之间不等，而个子报价在7-10元之间不等。（本信息由安徽亳州十九里集镇商家杜井峰13605688580提供）"
安徽亳州十九里集镇白芷行情依然平稳,2025-12-25 18:31,白芷,"【天地网讯】

白芷，最近按需走动为主，今天十九集镇行情依然平稳，小统货要价在6.5元左右，其该品库存有量，后市仍需要良好的消化空间。（本信息由安徽亳州十九里集镇商家杜井峰13605688580提供）"
四川省绵阳市三台县麦冬行情平稳 走货量正常,2025-12-25 15:30,麦冬,"【天地网讯】

四川省绵阳市三台县麦冬近期交易热度一般，走货量较月初有所下降，行情保持平稳，产地货源不算充足，本品春节过后将开始产新，产地商家预测产新前价格将持续高位，目前从产区种植现状来看，明年产量也会有一定上浮，不过价格下滑的概率也不大。现统货在135-138元左右。（本信息由四川绵阳  四川万诺顺安中药材有限公司  李先生 18144243456 提供）"
云南省红河州开远市重楼走动一般,2025-12-25 14:02,重楼,"【天地网讯】

云南省红河州开远市重楼走动一般，行情有所下滑，产地货源有量，统货价格在60元左右。（信息由云南省红河州开远市商家陈先生13887556754提供）"
云南省红河州开远市百部开始产新,2025-12-25 14:02,百部,"【天地网讯】

云南省红河州开远市百部开始产新，价格继续下跌，农户亏本严重，纯野生大百部选条价格在30元左右，家种大百部价格在26元左右，小百部价格在22元左右。（信息由云南省红河州开远市商家陈先生13887556754提供）"
云南省红河州开远市首乌藤大量上市,2025-12-25 14:01,首乌藤,"【天地网讯】

云南省红河州开远市首乌藤大量上市，市场质量需求严格，当地生产加工基本无利润，4-8颗粒价格在8.5-9元之间，8-10颗粒价格在7.5元左右，10以上颗粒及切片价格在6元左右。（信息由云南省红河州开远市商家陈先生13887556754提供）"
四川省彭州市泽泻零星采挖,2025-12-25 13:05,泽泻,"【天地网讯】

四川省彭州市泽泻近日有种植户零星采挖，新货还没形成具体交易行情，陈货目前价格在12.5-13元之间，近期有走动，今年产地气候正常，单产较好。（信息由四川省彭州市商家王先生13981807990提供）"
四川省彭州市川芎行情平稳,2025-12-25 13:05,川芎,"【天地网讯】

四川省彭州市川芎目前货源有量，近期行情继续平稳运行，现个子价格在14元左右，该品库存充足，今年产区种植积极性有所下降。（信息由四川省彭州市商家王先生13981807990提供）"
广西河池市金城江区两面针今年产量不大,2025-12-25 13:04,两面针,"【天地网讯】

广西河池市金城江区两面针资源野生为主，去年产量较好，今年产量不大，目前产地货源供应有量，双面阳枝段现价在4000元一吨，阴枝各规格较多，近期货源正常走动。（信息由广西河池市金城江区商家胡先生18877803958提供）"
广西河池市金城江区山豆根货源不多,2025-12-25 13:03,山豆根,"【天地网讯】

广西河池市金城江区山豆根野生、家种资源均有，目前产地库存不多，近期走动一般，价格稳定，现野生无阳枝的统货价格在140元左右。（信息由广西河池市金城江区商家胡先生18877803958提供）"
广西桂林市临桂区广金钱草行情依然不高,2025-12-25 13:02,广金钱草,"【天地网讯】

广西桂林市临桂区广金钱草产新结束差不多有一个月了，产地的货源已经走出60%左右，近期行情依然不高，现中前期货价格在4元左右。（信息由广西桂林市临桂区商家秦先生13471290507提供）"
云南省红河州金平县南板蓝根行情平稳,2025-12-25 13:01,南板蓝根,"【天地网讯】

云南省红河州金平县南板蓝根货源供应稳定，近期走动一般，行情平稳运行，现家种统货价格在5元左右。（信息由云南省红河州金平县商家李先生13887323224提供）"
云南省红河州金平县干姜正值产新,2025-12-25 13:00,干姜,"【天地网讯】

云南省红河州金平县干姜近年的种植面积也较大，目前正值产新，有商家来产区收购加工，近期行情稳定，现无硫统片价格在14.5元上下。（信息由云南省红河州金平县商家李先生13887323224提供）"
云南省文山市三七货源供应充足近期走动较好,2025-12-25 12:59,三七,"【天地网讯】

云南省文山市三七新货继续上市，近来有一些外地客商以及药企采购，货源走动较好，行情近日稳定运行，现陈货剪口每单斤价格在95-97元之间，60头的55-56元。（信息由云南省文山市商家唐先生15126991169提供）"
广东省茂名市化州市化橘红近期行情向好,2025-12-25 11:05,化橘红,"【天地网讯】

广东省茂名市化州市化橘红近期走势加快，行情向好，产地货源不丰，原材料价格有上涨，现大货价格圆果统货约55元，化橘红切片统货约65元，正毛压果约65元，正毛七爪散片统货约85元，其它如化橘红实心片、花片、单爪皮、胎果头、果饼、丝、块等各种规格请联系产地朱先生。（本信息由广东省茂名市化州市 化州市橘宝源化橘红种植专业合作社朱先生18938482981提供）"
湖北省利川市大黄鲜货采挖即将结束,2025-12-25 11:05,大黄,"【天地网讯】

湖北省利川市大黄今年可采挖面积减少，产新快要结束，鲜货上货量减少，统货价格稳定在14元左右，最近走货情况较好，预计后期行情向好。（本信息由 恩施诚实通中药材产业发展有限公司 尹超 13997777566 提供）"
甘肃省定西市陇西县党参走势稳定,2025-12-25 10:57,党参,"【天地网讯】

今日行情，甘肃省定西市陇西县党参（药厂个子）价格为38元/公斤，（456个子）价格为43元/公斤，（散条个子）价格为36元/公斤，（0.3薄片）价格为60元/公斤，（0.3厚片）价格为52元/公斤，（0.4厚片）价格为65元/公斤，走势稳定，货源充足。"
甘肃省定西市陇西县黄芪走势稳定,2025-12-25 10:54,黄芪,"【天地网讯】

今日行情，甘肃省定西市陇西县黄芪（药厂个子）价格为10.5元/公斤，（毛二条）价格为8元/公斤，（0.3瓜子片）价格为13元/公斤，（812过色选）价格为32元/公斤，（5-8丁过色选）价格为13元/公斤，（3-5丁）价格为8元/公斤，走势稳定，货源充足。"
山东省临沂市平邑县 金银花 近日行情稳定,2025-12-25 10:50,金银花,"【天地网讯】

今日行情，山东省临沂市平邑县，金银花（青花饮片）价格为110元，（黄白花一级）价格为85元，（黄白花二级）价格为77元，（三级药厂投料货）价格为68元，（四级投料货）价格为60元，（饮料货）价格为50元，走势稳定，货源充足。"
甘肃省陇西首阳市场甘草走动加快,2025-12-25 09:18,甘草,"【天地网讯】

甘肃省陇西首阳市场甘草走动加快，今年产新高含量货不多，市场寻货商家不多，以够含量为主，12-18的为主，3-5丁走动平稳，价格平稳，0.3-0.5筛价格在6-8元之间，0.5-0.8筛价格在10-14元之间，0.8-1.2筛价格在22-27元之间，1.2-1.6筛价格在24-30元之间。（本信息由甘肃福草农业:张阳18309377666提供）"
山东省潍坊市临朐县丹参走动平稳,2025-12-25 09:11,丹参,"【天地网讯】

山东省潍坊市临朐县丹参走动平稳，行情稳定，产地货源充足，药厂货价格在9元左右，条子货价格在15元左右。（本信息由山东省潍坊市临朐县袁小园15256199121提供）"
安徽省阜阳市阜南县白术库存充足,2025-12-24 23:40,白术,"【天地网讯】

今日行情，安徽省阜阳市阜南县白术行情暂时平稳，现安徽省阜阳市市场与集镇周边一年干货白术要价在10-13元之间，两年的白术报价在20-25元之间，其IE药农手中一年，二年，干货库存充足。（信息来源于产地商家森林药业18856853555）"
安徽省阜阳市阜南县金银花价格稳定,2025-12-24 23:35,金银花,"【天地网讯】

安徽省阜阳市阜南县金银花产地，金银花库存充足，价格稳定，交易量稳定，价格在100元/公斤上下浮动，药农出货热情低。（信息来源于产地商家森林药业18856853555）"
安徽省阜阳市夏天无价格稳步上升,2025-12-24 23:31,夏天无,"【天地网讯】

今日行情，安徽省阜阳市阜南县，夏天无（统货）价格为50元/公斤，走势稳定，货源不丰。
夏天无今年因为减产原因，上市量不丰。价格稳步上升，交易量稳定。药农看到了希望。（信息来源于产地商家森林药业18856853555）"
甘肃省定西市岷县黄芪价格稳定,2025-12-24 21:42,黄芪,"【天地网讯】

今日行情，甘肃省定西市岷县黄芪今天市场上货量77吨。成交量14%，市场人流量较前几日有所增加，有少量外地客商采购0.8-1.0和1.2-1.4瓜子片，本地采购商采购0.6-0.8的，成交价格稳定，今日成交价格0.4-0.6瓜子片13-17元之间不等，0.6-8瓜子片19-25元之间不等，0.8-1.0瓜子片26-37元之间不等，1.0-1.2瓜子片39-50元之间不等，1.2-1.4瓜子片51-60元之间不等，1.4-1.8瓜子片61-72元之间不等，精选片价格高10元每公斤。（此资讯由甘肃岷县岷芪源提供18293255658）"
甘肃省定西市岷县党参成交价格坚挺,2025-12-24 21:35,党参,"【天地网讯】

今日行情，甘肃省定西市岷县党参今天市场上货量150吨，成交量27%，市场人流量大，走货快，成交价格坚挺，有外地客商采购中条和切片货，本地采购商多以中条和大条为主，采购力度大，成交货源多，今日成交价格小条（药厂）36-43元之间不等，小条44-52元之间不等，中条57-78元之间不等，大条81-102元之间不等，特大条106元以上，市场货多以7-9成干为主，干度好的货价格高5-10元每公斤。（此资讯由甘肃岷县岷芪源提供18293255658）"
甘肃省定西市岷县当归价格基本稳定,2025-12-24 21:30,当归,"【天地网讯】

今日行情，甘肃省定西市岷县当归今天市场上货量73吨，市场人流量大，有外地客商采购中条和大条，本地采购商多以切片货为主，成交价格基本稳定，今日成交价格小条（药厂）31-37元之间不等，小条38-45元之间不等，中条48-57元之间不等，大条58-64元之间不等，特大条65元以上。（此资讯由甘肃岷县岷芪源提供18293255658）"
甘肃省定西市岷县当归成交价格稳定,2025-12-24 20:28,当归,"【天地网讯】

今日行情，甘肃省定西市岷县今日当归上货量大，货源充足，人流量大，人气回暖，成交价格稳定，目前药厂货成交价28-30元，小条成交价30-35元，中条成交40-45元，大条成交50元以上不等。"
甘肃省定西市岷县黄芪走动平稳,2025-12-24 20:24,黄芪,"【天地网讯】

今日行情，甘肃省定西市岷县黄芪今日党参上货量大，货源充足，市场人流量大，走动平稳，成交量稳定，价格坚挺，目前药厂货成交价33-36元之间不等，小条成交价40-45元之间不等，中条成交价50-60元之间不等，大条成交70-80元之间不等，特大100-110元之间不等。"
河南省信阳市商城县猫爪草价格基本稳定,2025-12-24 17:01,猫爪草,"【天地网讯】

河南省信阳市商城县猫爪草最近走动不快，但价格基本稳定，现产地统货售价在35元上下，水洗货报价在40元左右，供应有量。（本信息由河南省信阳市商城县商家周先生13137622610提供）"
河南省信阳市商城县夏天无行情明显回升,2025-12-24 17:00,夏天无,"【天地网讯】

河南省信阳市商城县夏天无由于有商视价低购进并看好囤货，导致货源交易出现好转，行情明显回升，现产地统货售价在40元左右。（本信息由河南省信阳市商城县商家周先生13137622610提供）"
河南省信阳市商城县野菊花行情平稳,2025-12-24 16:59,野菊花,"【天地网讯】

河南省信阳市商城县野菊花随着阳历年的到来，用药单位少有购货，目前走动显缓，但行情平稳，现产地90颗粒高含量的价格在35-36元，低含量的报价在32-33元。（本信息由河南省信阳市商城县商家周先生13137622610提供）"
河南省信阳市商城县水菖蒲走动不快,2025-12-24 16:58,水菖蒲,"【天地网讯】

河南省信阳市商城县水菖蒲虽有货供应，但货源实际走动不快，行情保持稳定，目前产地水菖蒲统货要价9元左右。（本信息由河南省信阳市商城县商家周先生13137622610提供）"
河南省信阳市商城县铁莲子处于平缓走动,2025-12-24 16:57,莲子,"【天地网讯】

河南省信阳市商城县铁莲子供应有量，最近处于平缓走动，价格与前阶段基本持平，目前产地售价在17元左右。（本信息由河南省信阳市商城县商家周先生13137622610提供）"
河南省信阳市商城县女贞子价格还是稳定,2025-12-24 16:56,女贞子,"【天地网讯】

河南省信阳市商城县女贞子受价低影响，近日有商抢收，且货源整体交易尚可，但价格还是稳定，目前产地统货要价在1.6元左右。（本信息由河南省信阳市商城县商家周先生13137622610提供）"
